PWEIGHT,PATTCRLM,PEFATINC,PEXMG1A,PWARRIF,
4847.7188,10000,39300,99996,0,
772.0451,30000,10200,99996,0,
1796.0987,67500,55650,99996,0,
537.1962,8250,18675,275,0,
3937.9225,3000,34325,99996,0,
1211.8968,5250,8275,99996,0,
506.3946,10500,80125,99996,0,
829.7843,999996,39500,99996,0,
1082.8499,70000,78900,99996,9500,
3126.434,18000,128100,1350,0,
1149.5013,7500,23200,99996,125000,
627.0605,23000,65125,500,0,
1145.0791,39000,18500,99996,0,
429.9209,10000,20675,225,0,
352.8568,77500,105025,99996,0,
381.2473,12000,95325,1100,55000,
392.4871,19000,40725,99996,0,
690.7626,12500,109525,350,0,
662.5403,40000,30800,99996,0,
938.3834,14000,88325,99996,72500,
1103.4638,999996,5325,99996,0,
2273.7218,24000,78900,99996,0,
212.0621,7000,166000,700,0,
1973.2011,57500,111400,99996,0,
882.1035,50000,60200,175,0,
974.3828,50000,111750,975,0,
545.0514,15500,219550,99996,210000,
2086.1786,21000,117775,99996,0,
1398.1376,20000,22800,900,0,
1903.4217,15500,53200,99996,0,
2005.3653,21000,110075,675,0,
601.7851,50000,78125,99996,0,
2430.7916,7000,24800,900,0,
824.7449,50000,78975,625,0,
2042.0411,2000,39500,99996,0,
319.8922,21000,95875,525,0,
195.4909,50000,154000,99996,0,
608.8421,47500,160600,99996,950000,
2585.2946,4750,3325,99996,0,
1314.9358,24000,68850,99996,0,
1917.9631,1900,33450,99996,0,
452.1155,29000,67750,99996,0,
796.619,42000,80600,1450,0,
966.182,30000,125875,99996,0,
1321.2086,14000,36075,99996,0,
871.9078,82500,68050,99996,170000,
367.6615,999996,32650,99996,0,
1698.9107,5000,40925,1150,0,
236.6144,30000,101025,99996,180000,
746.6634,17500,74975,99996,0,
455.7597,4750,35925,99996,0,
1101.636,9000,55600,99996,130000,
1749.3837,40000,211300,1850,0,
519.793,10000,53700,99996,0,
429.4977,999996,13000,99996,0,
1754.4275,2900,51000,99996,0,
2558.6828,999996,42225,99996,0,
1045.7896,60000,134300,175,0,
1704.6764,2100,9000,99996,0,
265.6543,35000,119875,99996,0,
1469.461,1000,68575,425,0,
1034.5016,34000,33400,99996,0,
1487.7527,6250,56700,1250,0,
667.0604,4750,63250,99996,0,
1999.4576,15500,102400,99996,0,
2465.3015,1500,18500,99996,0,
473.7372,999996,34650,99996,10000,
2210.5036,19000,28250,99996,0,
664.5924,10500,109750,99996,0,
1233.2386,50000,133525,99996,0,
106.5453,999996,76425,99996,0,
564.2074,19000,168175,325,55000,
784.8399,15500,46850,375,0,
1144.9275,21000,82325,1200,0,
1735.1973,4750,8050,99996,0,
1883.0509,19000,20000,4100,0,
1080.279,20000,67725,99996,0,
2028.922,999996,32875,99996,0,
301.6974,1900,144200,3100,0,
1552.3432,1000,14550,99996,0,
278.8704,60000,115775,99996,0,
2310.9448,36000,76075,1250,0,
1465.7914,29000,11000,925,0,
333.8177,29000,31575,99996,0,
2187.7631,15000,90125,100,0,
448.0072,950,41175,425,0,
1601.616,80000,217725,99996,0,
812.7501,19000,121100,99996,0,
1121.522,29000,30225,99996,0,
6578.1817,20000,44425,350,0,
1686.6423,6000,48350,99996,170000,
1273.2396,135000,208400,99996,0,
1275.7525,25000,76075,99996,35000,
1516.9687,34000,74250,99996,15500,
