PATTCRLM,PDWTYP,PEFATINC,PFSZ1824,PFSZ2544,PFSZ4564,PFSZ65UP,PPVRES,PWARRIF,PWNETWPG,
10000,2,39300,2,1,2,2,59,0,58800,
30000,3,10200,2,2,2,1,46,0,-21600,
67500,1,55650,2,2,1,2,24,0,871500,
8250,1,18675,2,2,1,2,12,0,86550,
3000,1,34325,2,1,2,2,59,0,120750,
5250,1,8275,2,2,2,1,35,0,143450,
10500,1,80125,2,1,2,2,48,0,156500,
999996,3,39500,2,1,2,2,46,0,4200,
70000,1,78900,2,2,1,1,35,9500,4922000,
18000,9,128100,1,1,2,1,35,0,935750,
7500,2,23200,2,2,2,1,24,125000,226025,
23000,2,65125,2,2,2,1,59,0,844000,
39000,1,18500,2,2,2,1,35,0,898075,
10000,1,20675,2,2,1,2,11,0,69500,
77500,1,105025,2,2,1,2,46,0,1759850,
12000,1,95325,2,2,2,1,13,55000,868501,
19000,1,40725,2,1,2,2,10,0,289700,
12500,1,109525,2,1,2,2,46,0,685350,
40000,1,30800,2,2,1,2,46,0,597800,
14000,3,88325,2,2,2,1,35,72500,1845750,
999996,1,5325,2,1,2,2,59,0,360,
24000,3,78900,2,1,1,1,35,0,1270500,
7000,1,166000,2,2,1,2,47,0,1628126,
57500,1,111400,2,1,1,2,35,0,1333300,
50000,1,60200,2,2,1,2,24,0,821750,
50000,1,111750,2,1,2,2,59,0,591751,
15500,2,219550,2,2,2,1,48,210000,867500,
21000,1,117775,2,1,2,2,24,0,1512500,
20000,1,22800,2,1,2,2,48,0,59051,
15500,1,53200,2,2,1,2,35,0,1310000,
21000,1,110075,2,2,1,2,48,0,187200,
50000,1,78125,2,1,2,2,48,0,625750,
7000,1,24800,1,1,2,2,47,0,1242000,
50000,1,78975,2,2,1,2,35,0,229750,
2000,3,39500,2,1,2,2,35,0,1550,
21000,1,95875,2,2,2,1,13,0,592100,
50000,1,154000,9,9,9,9,46,0,3934000,
47500,2,160600,2,2,2,1,35,950000,4333000,
